datetime,ticker,open,close,high,low,volume
2013-11-11,ABEV3,17.3,17.4,17.4,17.02,131358717.0
2013-11-12,ABEV3,17.3,17.06,17.37,16.76,197576325.0
2013-11-13,ABEV3,17.09,17.03,17.19,16.83,108370595.0
2013-11-14,ABEV3,17.25,17.47,17.5,17.05,244539146.0
2013-11-18,ABEV3,17.33,17.65,17.65,17.31,194172171.0
2013-11-19,ABEV3,17.6,17.37,17.8,17.03,176803403.0
2013-11-21,ABEV3,17.25,17.27,17.42,17.15,130417290.0
2013-11-22,ABEV3,17.25,17.46,17.6,17.16,107325674.0
2013-11-25,ABEV3,17.49,17.39,17.59,17.05,105977399.0
2013-11-26,ABEV3,17.25,17.6,17.6,17.2,191665891.0
2013-11-27,ABEV3,17.59,17.57,17.7,17.23,108755630.0
2013-11-28,ABEV3,17.64,17.46,17.64,17.33,66059674.0
2013-11-29,ABEV3,17.46,17.56,17.69,17.37,95335472.0
2013-12-02,ABEV3,17.4,17.51,17.73,17.37,166608254.0
2013-12-03,ABEV3,17.43,17.16,17.49,16.85,223386277.0
2013-12-04,ABEV3,17.25,16.6,17.36,16.6,405011557.0
2013-12-05,ABEV3,16.83,16.85,17.04,16.6,181092788.0
2013-12-06,ABEV3,17.02,16.74,17.09,16.71,152169631.0
2013-12-09,ABEV3,16.84,16.99,17.0,16.64,209261058.0
2013-12-10,ABEV3,16.95,16.8,17.04,16.65,101545317.0
2013-12-11,ABEV3,16.8,16.87,17.01,16.71,87129010.0
2013-12-12,ABEV3,16.85,16.6,16.93,16.53,111214265.0
2013-12-13,ABEV3,16.7,16.41,16.78,16.31,101217904.0
2013-12-16,ABEV3,16.39,16.51,16.66,16.22,121961986.0
2013-12-17,ABEV3,16.56,16.5,16.68,16.27,110569299.0
2013-12-18,ABEV3,16.59,16.7,16.88,16.56,185172311.0
2013-12-19,ABEV3,17.0,17.03,17.04,16.66,126558340.0
2013-12-20,ABEV3,17.0,16.95,17.04,16.82,105772522.0
2013-12-23,ABEV3,17.0,17.07,17.19,16.95,83211536.0
2013-12-26,ABEV3,17.0,16.94,17.13,16.94,60801772.0
2013-12-27,ABEV3,17.0,17.1,17.22,16.94,91342481.0
2013-12-30,ABEV3,17.2,17.32,17.39,17.05,66398512.0
2014-01-02,ABEV3,17.3,17.39,17.5,17.18,139744724.0
2014-01-03,ABEV3,17.41,16.9,17.44,16.9,422391686.0
2014-01-06,ABEV3,16.95,16.8,17.09,16.55,156459642.0
2014-01-07,ABEV3,17.04,17.33,17.4,16.94,323416867.0
2014-01-08,ABEV3,17.35,17.5,17.57,17.24,199274281.0
2014-01-09,ABEV3,17.46,17.09,17.49,17.01,151603207.0
2014-01-10,ABEV3,17.1,17.2,17.23,16.89,236524164.0
2014-01-13,ABEV3,17.18,17.04,17.27,17.03,86889818.0
2014-01-14,ABEV3,17.03,17.25,17.32,16.96,122899875.0
2014-01-15,ABEV3,17.12,17.0,17.2,16.92,105297957.0
2014-01-16,ABEV3,17.02,16.78,17.12,16.74,98906377.0
2014-01-17,ABEV3,16.82,16.64,16.86,16.6,79929927.0
2014-01-20,ABEV3,16.63,16.7,16.8,16.57,46221799.0
2014-01-21,ABEV3,16.77,16.9,17.13,16.67,119097409.0
2014-01-22,ABEV3,17.01,17.14,17.16,16.92,208632962.0
2014-01-23,ABEV3,17.0,16.55,17.24,16.55,260484956.0
2014-01-24,ABEV3,16.72,16.43,16.75,16.1,222108665.0
2014-01-27,ABEV3,16.44,16.04,16.59,16.04,123580775.0
2014-01-28,ABEV3,16.3,16.1,16.51,16.1,181050520.0
2014-01-29,ABEV3,16.15,16.05,16.48,15.82,177036532.0
2014-01-30,ABEV3,16.06,15.87,16.15,15.66,120651372.0
2014-01-31,ABEV3,15.76,16.09,16.19,15.5,210965109.0
2014-02-03,ABEV3,15.93,15.5,16.15,15.41,216458176.0
2014-02-04,ABEV3,15.6,15.57,15.68,15.27,144681694.0
2014-02-05,ABEV3,15.55,15.44,15.59,15.15,178808403.0
2014-02-06,ABEV3,15.49,16.17,16.25,15.38,219362800.0
2014-02-07,ABEV3,16.08,16.39,16.4,15.92,120963797.0
2014-02-10,ABEV3,16.23,16.14,16.35,15.96,88647962.0
2014-02-11,ABEV3,16.24,16.6,16.64,16.16,130989245.0
2014-02-12,ABEV3,16.6,16.15,16.65,16.15,158513365.0
2014-02-13,ABEV3,16.01,16.33,16.33,15.75,148607096.0
2014-02-14,ABEV3,16.37,16.68,16.71,16.32,216427204.0
2014-02-17,ABEV3,16.67,16.56,16.75,16.54,65338026.0
2014-02-18,ABEV3,16.43,16.15,16.58,16.15,152091811.0
2014-02-19,ABEV3,16.0,16.34,16.34,15.9,117171216.0
2014-02-20,ABEV3,16.29,16.53,16.76,16.06,112820950.0
2014-02-21,ABEV3,16.5,16.58,16.86,16.38,115148382.0
2014-02-24,ABEV3,16.57,16.6,16.78,16.36,88492644.0
2014-02-25,ABEV3,16.46,16.6,16.84,16.38,117180384.0
2014-02-26,ABEV3,16.87,16.78,16.99,16.7,137657047.0
2014-02-27,ABEV3,16.77,16.89,16.99,16.66,114917617.0
2014-02-28,ABEV3,16.9,16.88,17.03,16.65,226621184.0
2014-03-05,ABEV3,16.79,16.8,16.99,16.5,144946707.0
2014-03-06,ABEV3,16.86,16.87,17.01,16.72,126992973.0
2014-03-07,ABEV3,16.89,16.76,16.98,16.68,200043827.0
2014-03-10,ABEV3,16.74,16.69,16.76,16.43,185657453.0
2014-03-11,ABEV3,16.69,16.7,16.89,16.5,134307422.0
2014-03-12,ABEV3,16.6,16.72,16.73,16.53,127374653.0
2014-03-13,ABEV3,16.79,16.6,16.81,16.42,192599138.0
2014-03-14,ABEV3,16.59,16.36,16.59,16.36,129688718.0
2014-03-17,ABEV3,16.45,16.67,16.69,16.27,127473090.0
