datetime,ticker,open,close,high,low,volume
2018-03-26,B3SA3,25.8,25.66,26.1,25.25,129461570.0
2018-03-27,B3SA3,25.79,25.59,25.9,25.45,94182344.0
2018-03-28,B3SA3,25.3,26.1,26.3,25.16,213564537.0
2018-03-29,B3SA3,26.21,26.69,26.85,25.99,199170109.0
2018-04-02,B3SA3,26.35,26.49,26.7,26.03,149024937.0
2018-04-03,B3SA3,26.58,26.45,26.99,26.07,227851810.0
2018-04-04,B3SA3,25.84,26.17,26.25,25.56,163689956.0
2018-04-05,B3SA3,26.8,26.77,27.15,26.47,226370015.0
2018-04-06,B3SA3,26.67,26.81,26.87,26.11,218865100.0
2018-04-09,B3SA3,26.98,26.2,26.98,25.97,168151404.0
2018-04-10,B3SA3,26.3,26.28,26.4,25.6,179761250.0
2018-04-11,B3SA3,26.22,26.55,26.59,25.9,153570425.0
2018-04-12,B3SA3,26.5,26.89,27.09,26.42,211406841.0
2018-04-13,B3SA3,26.7,26.42,26.82,26.12,279892516.0
2018-04-16,B3SA3,26.52,25.38,26.52,25.34,198414358.0
2018-04-17,B3SA3,25.45,25.67,25.85,24.9,254567539.0
2018-04-18,B3SA3,25.89,26.25,26.67,25.61,332133860.0
2018-04-19,B3SA3,26.17,26.06,26.31,25.75,133575444.0
2018-04-20,B3SA3,25.8,25.7,25.95,25.57,145589516.0
2018-04-23,B3SA3,25.55,25.74,25.74,25.34,161684373.0
2018-04-24,B3SA3,25.87,25.3,25.95,25.06,144043091.0
2018-04-25,B3SA3,24.96,25.06,25.26,24.75,181462266.0
2018-04-26,B3SA3,25.1,25.67,25.73,25.04,89494477.0
2018-04-27,B3SA3,25.94,25.83,25.99,25.61,99693977.0
2018-04-30,B3SA3,26.0,25.3,26.0,25.22,167505202.0
2018-05-02,B3SA3,25.06,24.61,25.1,24.46,343386593.0
2018-05-03,B3SA3,24.4,24.16,24.69,24.12,295483663.0
2018-05-04,B3SA3,24.1,24.04,24.44,23.71,220585343.0
2018-05-07,B3SA3,24.06,23.98,24.27,23.77,104111542.0
2018-05-08,B3SA3,24.0,23.89,24.32,23.79,146488188.0
2018-05-09,B3SA3,23.91,24.06,24.15,23.61,181818445.0
2018-05-10,B3SA3,24.21,24.68,24.72,24.07,308845241.0
2018-05-11,B3SA3,24.52,23.6,24.73,23.51,339695701.0
2018-05-14,B3SA3,23.67,23.29,23.69,22.78,350378891.0
2018-05-15,B3SA3,23.0,22.8,23.11,22.51,345189603.0
2018-05-16,B3SA3,22.64,23.08,23.54,22.64,179718457.0
2018-05-17,B3SA3,22.76,22.11,23.03,21.82,419664599.0
2018-05-18,B3SA3,21.83,22.28,22.28,21.46,309447925.0
2018-05-21,B3SA3,22.46,22.15,22.5,22.02,195343222.0
2018-05-22,B3SA3,22.37,23.35,23.48,22.28,321566687.0
2018-05-23,B3SA3,22.95,22.1,23.12,22.1,196321867.0
2018-05-24,B3SA3,21.8,21.6,22.02,21.28,378371816.0
2018-05-25,B3SA3,21.67,21.02,21.86,20.85,444364371.0
2018-05-28,B3SA3,20.81,20.53,21.0,20.3,210751762.0
2018-05-29,B3SA3,21.1,20.73,21.74,20.55,340836071.0
2018-05-30,B3SA3,20.51,21.77,21.9,20.5,458509990.0
2018-06-01,B3SA3,21.98,22.25,22.63,21.51,432476270.0
2018-06-04,B3SA3,22.49,22.82,23.07,22.32,408627329.0
2018-06-05,B3SA3,22.5,22.12,22.83,21.52,356891669.0
2018-06-06,B3SA3,21.83,21.41,22.08,21.13,245984469.0
2018-06-07,B3SA3,20.62,20.0,21.1,19.58,765914525.0
2018-06-08,B3SA3,19.98,20.84,21.26,19.54,481951886.0
2018-06-11,B3SA3,21.1,20.42,21.33,20.05,149449675.0
2018-06-12,B3SA3,20.69,21.0,21.24,20.5,323648498.0
2018-06-13,B3SA3,21.0,20.67,21.04,20.0,280292997.0
2018-06-14,B3SA3,20.75,20.15,20.91,20.03,338637177.0
2018-06-15,B3SA3,20.0,19.79,20.09,19.31,469694636.0
2018-06-18,B3SA3,19.5,19.21,19.67,19.1,203404006.0
2018-06-19,B3SA3,18.95,19.93,20.23,18.92,494487953.0
2018-06-20,B3SA3,20.1,19.78,20.34,19.6,174503044.0
2018-06-21,B3SA3,19.56,19.57,19.87,19.43,170430690.0
2018-06-22,B3SA3,19.65,19.97,19.98,19.49,169214614.0
2018-06-25,B3SA3,20.0,20.69,21.04,19.8,250462324.0
2018-06-26,B3SA3,20.82,20.64,20.95,20.42,237022801.0
2018-06-27,B3SA3,20.45,20.2,20.62,20.08,175496750.0
2018-06-28,B3SA3,20.1,20.52,20.56,19.81,155871795.0
2018-06-29,B3SA3,20.84,20.45,20.88,20.4,200100400.0
2018-07-02,B3SA3,20.45,20.64,20.7,20.11,73718010.0
2018-07-03,B3SA3,20.85,20.89,21.38,20.45,132156818.0
2018-07-04,B3SA3,20.8,21.14,21.15,20.57,57143720.0
2018-07-05,B3SA3,20.95,21.01,21.18,20.64,136925139.0
2018-07-06,B3SA3,21.05,21.75,21.97,21.0,168283763.0
2018-07-10,B3SA3,21.99,22.37,22.59,21.87,759809050.0
2018-07-11,B3SA3,22.2,22.38,22.65,22.2,264276311.0
2018-07-12,B3SA3,22.49,23.06,23.14,22.45,216983427.0
2018-07-13,B3SA3,23.18,23.82,23.82,23.07,240379398.0
2018-07-16,B3SA3,23.8,23.5,23.8,23.1,326366808.0
2018-07-17,B3SA3,23.4,23.94,24.27,23.33,323580158.0
2018-07-18,B3SA3,23.71,23.22,24.0,23.09,226885765.0
2018-07-19,B3SA3,23.0,23.1,23.1,22.53,392856513.0
