datetime,ticker,open,close,high,low,volume
1998-03-16,BBAS3,8.1,8.0,8.1,7.9,120403.0
1998-03-17,BBAS3,8.15,8.35,8.35,8.1,1070483.0
1998-03-18,BBAS3,8.5,8.3,8.6,8.3,286528.0
1998-03-19,BBAS3,8.5,8.39,8.5,8.08,208695.0
1998-03-20,BBAS3,8.5,8.45,8.5,8.3,73527.0
1998-03-23,BBAS3,8.5,9.0,9.0,8.5,222065.0
1998-03-24,BBAS3,9.0,8.95,9.3,8.8,58651.0
1998-03-25,BBAS3,8.9,8.9,9.1,8.4,216124.0
1998-03-26,BBAS3,8.7,9.0,9.2,8.7,122540.0
1998-03-27,BBAS3,9.1,9.2,9.25,9.0,176377.0
1998-03-30,BBAS3,9.0,9.05,9.05,9.0,13512.0
1998-03-31,BBAS3,9.25,9.6,9.65,9.25,586419.0
1998-04-01,BBAS3,9.7,10.35,10.38,9.6,1682224.0
1998-04-02,BBAS3,10.3,10.95,11.51,10.3,2219148.0
1998-04-03,BBAS3,10.94,10.4,11.5,10.39,1355013.0
1998-04-06,BBAS3,10.6,11.0,11.0,10.4,712752.0
1998-04-07,BBAS3,10.65,10.88,10.9,10.6,277833.0
1998-04-08,BBAS3,10.99,10.99,11.1,10.9,491887.0
1998-04-13,BBAS3,10.9,10.7,11.0,10.6,138070.0
1998-04-14,BBAS3,11.0,10.9,11.0,10.9,1122016.0
1998-04-15,BBAS3,10.9,10.9,10.95,10.8,1683620.0
1998-04-16,BBAS3,10.9,11.29,11.79,10.9,3247933.0
1998-04-17,BBAS3,11.2,12.69,12.8,11.2,7010512.0
1998-04-20,BBAS3,13.0,12.99,13.4,12.4,5009619.0
1998-04-22,BBAS3,12.5,12.69,13.0,12.3,3155903.0
1998-04-23,BBAS3,12.99,12.6,13.5,12.6,2996550.0
1998-04-24,BBAS3,12.65,12.6,13.1,12.4,2293773.0
1998-04-27,BBAS3,12.11,11.81,12.35,11.8,1675940.0
1998-04-28,BBAS3,11.8,11.7,12.1,11.3,990330.0
1998-04-29,BBAS3,11.95,11.8,11.95,11.6,1395697.0
1998-04-30,BBAS3,11.8,13.0,13.0,11.7,710851.0
1998-05-04,BBAS3,11.8,12.18,12.2,11.8,180948.0
1998-05-05,BBAS3,11.99,12.4,12.4,11.9,238990.0
1998-05-06,BBAS3,12.3,11.95,12.3,11.9,300751.0
1998-05-07,BBAS3,11.85,12.0,12.2,11.5,403115.0
1998-05-08,BBAS3,12.39,12.3,12.7,12.3,697777.0
1998-05-11,BBAS3,12.55,11.99,12.7,11.99,651390.0
1998-05-12,BBAS3,11.8,11.96,12.2,11.6,258196.0
1998-05-13,BBAS3,12.15,11.91,12.2,11.9,290161.0
1998-05-14,BBAS3,12.4,11.6,12.4,11.6,536184.0
1998-05-15,BBAS3,11.6,12.4,12.4,11.5,229706.0
1998-05-18,BBAS3,11.4,10.9,11.5,10.5,135602.0
1998-05-19,BBAS3,11.0,11.0,11.3,10.8,240504.0
1998-05-20,BBAS3,11.25,10.65,11.25,10.65,227690.0
1998-05-21,BBAS3,11.0,10.52,11.0,10.5,145061.0
1998-05-22,BBAS3,10.3,10.7,10.7,10.3,46538.0
1998-05-25,BBAS3,11.0,10.5,11.5,10.2,43904.0
1998-05-26,BBAS3,10.4,9.01,10.4,9.01,193250.0
1998-05-27,BBAS3,9.0,9.7,9.8,8.7,23177304.0
1998-05-28,BBAS3,9.99,10.6,10.8,9.89,527284.0
1998-05-29,BBAS3,10.6,10.72,11.5,10.6,719579.0
1998-06-01,BBAS3,10.5,10.55,10.6,10.2,173430.0
1998-06-02,BBAS3,10.8,10.6,11.0,10.5,985984.0
1998-06-03,BBAS3,10.65,10.0,10.65,9.6,134599.0
1998-06-04,BBAS3,9.9,10.3,10.3,9.6,65970.0
1998-06-05,BBAS3,10.3,10.56,10.56,10.19,253250.0
1998-06-08,BBAS3,10.8,10.0,10.8,10.0,4362221.0
1998-06-09,BBAS3,10.0,10.15,10.15,9.8,245493.0
1998-06-10,BBAS3,9.82,9.8,9.82,9.8,38227.0
1998-06-12,BBAS3,9.5,9.51,9.64,9.4,95150.0
1998-06-15,BBAS3,9.5,9.2,9.7,9.2,111428.0
1998-06-16,BBAS3,9.18,8.6,9.18,8.5,184736.0
1998-06-17,BBAS3,9.37,9.3,9.5,9.3,118588.0
1998-06-18,BBAS3,9.3,9.29,9.5,9.29,38584.0
1998-06-19,BBAS3,9.11,9.35,9.35,9.1,336951.0
1998-06-22,BBAS3,9.3,9.35,9.38,9.25,438206.0
1998-06-23,BBAS3,9.3,9.38,9.4,9.3,61845.0
1998-06-24,BBAS3,9.4,9.5,9.59,9.4,127833.0
1998-06-25,BBAS3,9.55,9.3,9.6,9.3,400913.0
1998-06-26,BBAS3,9.3,9.35,9.39,9.15,624571.0
1998-06-29,BBAS3,9.4,9.7,9.7,9.4,72663.0
1998-06-30,BBAS3,9.75,9.54,9.75,9.5,84957.0
1998-07-01,BBAS3,9.41,9.78,9.78,9.3,1391627.0
1998-07-02,BBAS3,9.51,9.5,9.55,9.5,333470.0
1998-07-03,BBAS3,9.69,9.55,9.69,9.5,55503.0
1998-07-06,BBAS3,9.35,9.55,9.74,9.35,505985.0
1998-07-07,BBAS3,9.98,9.71,9.98,9.65,201355.0
1998-07-08,BBAS3,9.8,9.85,9.85,9.69,2631495.0
1998-07-10,BBAS3,9.9,10.1,10.15,9.9,145635.0
1998-07-13,BBAS3,10.1,10.25,10.4,10.1,132960.0
1998-07-14,BBAS3,10.5,10.7,11.0,10.5,203695.0
1998-07-15,BBAS3,10.55,10.5,10.75,10.2,264350.0
1998-07-16,BBAS3,10.7,10.5,10.9,10.5,123851.0
1998-07-17,BBAS3,10.55,10.55,10.7,10.5,50985.0
1998-07-20,BBAS3,10.5,10.1,10.5,10.1,22802.0
1998-07-21,BBAS3,10.6,10.59,10.7,10.3,164291.0
1998-07-22,BBAS3,10.59,10.3,10.59,10.26,58844.0
1998-07-23,BBAS3,10.25,10.5,10.5,10.0,234389.0
1998-07-24,BBAS3,10.3,10.5,10.5,10.0,84008.0
1998-07-27,BBAS3,10.01,10.27,10.3,10.0,36712.0
1998-07-28,BBAS3,10.2,9.74,10.2,9.74,32943.0
1998-07-29,BBAS3,9.74,9.95,10.2,9.74,88379.0
1998-07-30,BBAS3,9.9,9.61,10.2,9.6,118014.0
1998-07-31,BBAS3,9.6,9.7,9.8,9.5,72092.0
1998-08-03,BBAS3,9.69,9.5,9.7,9.5,414258.0
1998-08-04,BBAS3,9.33,9.1,9.34,9.03,1383246.0
1998-08-05,BBAS3,9.0,9.1,9.4,9.0,2823211.0
1998-08-06,BBAS3,9.3,9.5,9.6,9.3,314596.0
1998-08-07,BBAS3,9.5,9.5,9.5,9.2,55620.0
1998-08-10,BBAS3,9.2,9.1,9.2,9.0,146580.0
1998-08-11,BBAS3,9.5,8.89,9.5,8.5,152614.0
1998-08-12,BBAS3,8.99,8.1,8.99,8.0,75418.0
1998-08-13,BBAS3,8.1,8.49,8.79,8.0,375198.0
1998-08-14,BBAS3,8.7,8.86,8.9,8.7,5700430.0
1998-08-17,BBAS3,8.8,8.7,8.8,8.56,56767565.0
1998-08-18,BBAS3,9.0,8.7,9.0,8.5,122608.0
1998-08-19,BBAS3,9.1,9.0,9.25,8.99,58274.0
1998-08-20,BBAS3,9.1,9.0,9.1,8.6,194809.0
1998-08-21,BBAS3,8.12,8.6,8.6,8.12,29336.0
1998-08-24,BBAS3,8.5,8.0,8.5,8.0,14745.0
1998-08-25,BBAS3,8.49,8.21,8.5,8.2,153434.0
1998-08-26,BBAS3,8.0,8.3,8.5,8.0,72672.0
1998-08-27,BBAS3,8.2,7.8,8.3,7.8,522737.0
1998-08-28,BBAS3,7.8,8.0,8.0,7.8,173905.0
1998-08-31,BBAS3,7.99,7.85,8.0,7.8,426091.0
1998-09-01,BBAS3,7.99,8.1,8.1,7.85,105776.0
1998-09-02,BBAS3,8.3,8.0,8.55,8.0,107246.0
1998-09-03,BBAS3,7.95,7.85,7.97,7.6,830116.0
1998-09-04,BBAS3,7.89,7.28,7.9,6.7,919547.0
1998-09-08,BBAS3,7.0,7.1,7.25,7.0,96042.0
1998-09-09,BBAS3,7.0,7.2,7.2,6.8,173687.0
1998-09-10,BBAS3,6.5,6.25,6.51,6.0,81039.0
1998-09-11,BBAS3,6.49,6.39,6.7,6.01,196422.0
1998-09-14,BBAS3,6.7,6.97,6.97,6.4,43755.0
1998-09-15,BBAS3,7.0,7.0,7.5,7.0,108017.0
1998-09-16,BBAS3,7.2,7.2,7.6,7.16,128255.0
1998-09-17,BBAS3,6.8,7.1,7.1,6.8,100131.0
1998-09-18,BBAS3,7.1,7.39,7.39,7.0,18459.0
1998-09-21,BBAS3,7.0,6.9,7.09,6.9,17416.0
1998-09-22,BBAS3,7.1,6.75,7.1,6.5,83278.0
1998-09-23,BBAS3,7.0,6.9,7.0,6.65,122789.0
1998-09-24,BBAS3,7.1,6.79,7.1,6.51,111685.0
1998-09-25,BBAS3,6.69,6.54,6.69,6.12,51437.0
1998-09-28,BBAS3,6.75,6.5,6.75,6.3,41216.0
1998-09-29,BBAS3,6.4,6.7,6.7,6.4,45431.0
1998-09-30,BBAS3,6.5,6.5,6.7,6.4,29241.0
1998-10-01,BBAS3,6.4,6.4,6.5,6.3,595306.0
1998-10-02,BBAS3,6.3,6.72,6.72,6.3,32636.0
1998-10-05,BBAS3,6.2,6.48,6.48,6.2,10609.0
1998-10-06,BBAS3,6.7,6.7,6.8,6.55,56758.0
1998-10-07,BBAS3,6.97,6.5,6.98,6.5,32998.0
1998-10-08,BBAS3,6.4,6.29,6.4,6.2,8766.0
1998-10-09,BBAS3,6.2,6.5,6.5,6.2,29660.0
1998-10-13,BBAS3,6.4,6.6,6.7,6.3,23709.0
1998-10-14,BBAS3,6.25,6.25,6.58,6.2,62523.0
1998-10-15,BBAS3,6.2,6.5,6.5,6.2,70195.0
1998-10-16,BBAS3,6.5,6.4,6.5,6.4,17496.0
1998-10-19,BBAS3,6.4,6.21,6.4,6.21,23021.0
1998-10-20,BBAS3,6.64,6.5,6.64,6.5,31990.0
1998-10-21,BBAS3,6.6,6.55,6.69,6.54,67103.0
1998-10-22,BBAS3,6.68,6.55,6.68,6.4,42902.0
1998-10-23,BBAS3,6.51,6.3,6.51,6.25,10092.0
1998-10-26,BBAS3,6.3,6.15,6.3,6.0,84572.0
1998-10-27,BBAS3,6.34,6.2,6.35,6.15,138643.0
1998-10-28,BBAS3,6.2,6.2,6.2,6.0,358566.0
1998-10-29,BBAS3,6.0,6.22,6.22,5.95,28409.0
1998-10-30,BBAS3,6.2,6.22,6.5,6.2,517869.0
1998-11-03,BBAS3,6.33,6.3,6.35,6.3,17112.0
1998-11-04,BBAS3,6.3,6.4,6.4,6.25,126060.0
1998-11-05,BBAS3,6.34,6.4,6.4,6.25,75456.0
1998-11-06,BBAS3,6.7,6.9,7.1,6.7,230718.0
