datetime,ticker,open,close,high,low,volume
1998-03-16,BBDC4,10.9,10.95,10.95,10.65,8684946.4
1998-03-17,BBDC4,10.89,11.2,11.2,10.89,14581413.2
1998-03-18,BBDC4,11.1,11.1,11.35,11.1,10650816.5
1998-03-19,BBDC4,11.2,11.2,11.25,11.08,10430415.4
1998-03-20,BBDC4,11.2,11.8,11.8,11.2,8596442.5
1998-03-23,BBDC4,11.7,12.05,12.1,11.7,21583862.4
1998-03-24,BBDC4,12.04,12.05,12.29,11.99,31820597.2
1998-03-25,BBDC4,12.0,11.8,12.05,11.5,12015450.1
1998-03-26,BBDC4,11.8,11.8,11.85,11.51,12361682.2
1998-03-27,BBDC4,11.9,11.8,12.05,11.7,10998998.9
1998-03-30,BBDC4,11.7,11.74,11.74,11.6,8404622.5
1998-03-31,BBDC4,11.8,11.75,11.8,11.51,16594222.4
1998-04-01,BBDC4,11.8,11.8,11.89,11.52,17471080.6
1998-04-02,BBDC4,11.75,11.8,11.94,11.7,15547548.0
1998-04-03,BBDC4,11.79,11.65,11.9,11.5,15348098.4
1998-04-06,BBDC4,11.65,11.8,11.85,11.6,9547337.0
1998-04-07,BBDC4,11.8,11.5,11.8,11.4,5128195.2
1998-04-08,BBDC4,11.5,11.75,11.8,11.4,13531278.6
1998-04-13,BBDC4,11.75,11.65,11.75,11.55,11886566.7
1998-04-14,BBDC4,11.6,11.6,11.7,11.49,12313892.5
1998-04-15,BBDC4,11.6,11.6,11.85,11.45,13009552.2
1998-04-16,BBDC4,11.4,11.45,11.55,11.25,5490862.5
1998-04-17,BBDC4,11.3,11.3,11.3,11.07,8053250.1
1998-04-20,BBDC4,11.25,11.39,11.39,11.01,6331646.1
1998-04-22,BBDC4,11.2,11.1,11.2,10.8,6559480.4
1998-04-23,BBDC4,11.1,11.1,11.4,11.0,5044224.6
1998-04-24,BBDC4,11.25,11.1,11.35,10.95,6066195.4
1998-04-27,BBDC4,11.0,10.4,11.0,10.2,7081196.0
1998-04-28,BBDC4,10.5,10.2,10.5,10.05,9826292.5
1998-04-29,BBDC4,10.3,10.5,10.75,10.1,15625340.6
1998-04-30,BBDC4,10.6,10.5,10.7,10.4,8772720.0
1998-05-04,BBDC4,10.4,10.5,10.6,10.2,13490049.8
1998-05-05,BBDC4,10.3,10.3,10.5,10.2,5911317.5
1998-05-06,BBDC4,10.3,10.0,10.5,10.0,7943309.9
1998-05-07,BBDC4,10.0,9.95,10.1,9.8,8647889.9
1998-05-08,BBDC4,10.1,9.9,10.16,9.8,4704134.2
1998-05-11,BBDC4,9.95,9.6,9.98,9.5,7103262.7
1998-05-12,BBDC4,9.5,9.2,9.61,9.1,7448765.3
1998-05-13,BBDC4,9.2,9.2,9.3,9.06,6850752.1
1998-05-14,BBDC4,9.3,9.05,9.3,9.0,5569821.5
1998-05-15,BBDC4,9.1,9.1,9.11,9.0,4353928.6
1998-05-18,BBDC4,9.1,9.0,9.2,8.5,6060917.9
1998-05-19,BBDC4,9.4,9.25,9.4,8.99,6992321.3
1998-05-20,BBDC4,9.3,9.3,9.45,9.05,7658441.9
1998-05-21,BBDC4,9.5,9.4,9.6,9.25,5365832.5
1998-05-22,BBDC4,9.3,9.6,9.6,9.26,3836953.7
1998-05-25,BBDC4,9.5,9.4,9.55,9.22,1316736.2
1998-05-26,BBDC4,9.3,9.1,9.4,9.1,5833903.5
1998-05-27,BBDC4,9.0,9.1,9.1,8.51,10630263.7
1998-05-28,BBDC4,9.1,9.5,9.5,8.85,5811366.6
1998-05-29,BBDC4,9.35,9.4,9.4,9.25,4584221.7
1998-06-01,BBDC4,9.15,8.95,9.2,8.9,4685728.3
1998-06-02,BBDC4,9.1,9.0,9.2,8.75,10011456.6
1998-06-03,BBDC4,9.14,9.0,9.2,8.75,13462566.4
1998-06-04,BBDC4,8.91,8.95,9.0,8.85,13392151.1
1998-06-05,BBDC4,8.91,9.25,9.25,8.9,13426624.6
1998-06-08,BBDC4,9.3,9.4,9.5,9.2,3523410.2
1998-06-09,BBDC4,9.4,9.2,9.4,9.15,6854862.8
1998-06-10,BBDC4,9.1,9.1,9.1,8.9,5210013.0
1998-06-12,BBDC4,8.9,9.1,9.1,8.65,6889885.9
1998-06-15,BBDC4,8.9,8.7,8.9,8.6,6486319.5
1998-06-16,BBDC4,8.9,8.7,8.9,8.6,7983968.4
1998-06-17,BBDC4,9.0,9.25,9.25,8.9,14050232.4
1998-06-18,BBDC4,9.01,9.0,9.05,8.9,11056065.0
1998-06-19,BBDC4,9.0,9.0,9.15,8.9,4018497.8
1998-06-22,BBDC4,9.0,9.3,9.35,8.8,4992310.0
1998-06-23,BBDC4,9.3,9.5,9.5,9.3,8159054.6
1998-06-24,BBDC4,9.4,9.5,9.69,9.3,8117758.4
1998-06-25,BBDC4,9.5,9.6,9.6,9.35,9552816.9
1998-06-26,BBDC4,9.31,9.6,9.6,9.26,5344829.3
1998-06-29,BBDC4,9.6,9.6,9.65,9.5,4167867.2
1998-06-30,BBDC4,9.7,9.65,9.72,9.6,4158834.3
1998-07-01,BBDC4,9.74,9.5,9.74,9.3,3236708.0
1998-07-02,BBDC4,9.5,9.5,9.5,9.29,4127080.3
1998-07-03,BBDC4,9.5,9.69,9.7,9.49,2207309.5
1998-07-06,BBDC4,9.5,9.35,9.5,9.3,4399527.3
1998-07-07,BBDC4,9.4,9.45,9.45,9.3,4337842.9
1998-07-08,BBDC4,9.5,9.6,9.65,9.45,33329106.9
1998-07-10,BBDC4,9.65,9.4,9.65,9.4,8853480.5
1998-07-13,BBDC4,9.6,9.3,9.6,9.26,5185647.6
1998-07-14,BBDC4,9.32,9.4,9.4,9.26,7444721.3
1998-07-15,BBDC4,9.0,9.0,9.2,8.95,14298794.6
1998-07-16,BBDC4,9.01,9.2,9.2,9.01,10494230.3
1998-07-17,BBDC4,9.2,9.5,9.5,9.1,11791574.7
1998-07-20,BBDC4,9.5,9.5,9.56,9.3,6306778.3
1998-07-21,BBDC4,9.5,9.5,9.59,9.45,7016757.8
1998-07-22,BBDC4,9.5,9.65,9.68,9.4,11349622.1
1998-07-23,BBDC4,9.6,9.55,9.6,9.45,4192781.8
1998-07-24,BBDC4,9.55,9.6,9.6,9.4,5320778.4
1998-07-27,BBDC4,9.6,9.9,9.96,9.4,8077233.1
1998-07-28,BBDC4,9.9,9.7,10.1,9.61,9664217.0
1998-07-29,BBDC4,9.7,9.7,9.9,9.6,6667946.2
1998-07-30,BBDC4,9.8,9.9,9.9,9.7,12769504.2
1998-07-31,BBDC4,10.0,9.8,10.0,9.7,6863427.3
1998-08-03,BBDC4,9.69,9.75,9.8,9.65,8704581.5
1998-08-04,BBDC4,9.75,9.6,9.8,9.4,15323152.0
1998-08-05,BBDC4,9.7,9.2,9.7,9.0,9867749.3
1998-08-06,BBDC4,9.1,9.2,9.2,9.0,3424652.5
1998-08-07,BBDC4,9.15,9.1,9.25,8.89,11382625.4
1998-08-10,BBDC4,8.9,8.85,8.9,8.66,2611308.7
1998-08-11,BBDC4,8.6,8.55,8.7,8.35,5507124.5
