datetime,ticker,open,close,high,low,volume
2009-05-20,ITUB4,29.5,30.03,30.84,29.5,291812233.0
2009-05-21,ITUB4,29.61,29.99,30.15,29.41,143839395.0
2009-05-22,ITUB4,30.4,30.38,30.59,29.42,153292069.0
2009-05-25,ITUB4,30.35,30.4,30.67,29.93,51834816.0
2009-05-26,ITUB4,30.15,31.55,31.79,29.9,295076559.0
2009-05-27,ITUB4,31.6,31.69,32.5,31.46,239969265.0
2009-05-28,ITUB4,32.0,32.0,32.29,31.5,220757102.0
2009-05-29,ITUB4,32.29,31.9,32.45,31.31,420834530.0
2009-06-01,ITUB4,32.81,32.78,33.12,32.22,227777826.0
2009-06-02,ITUB4,32.65,32.37,33.12,31.98,196722860.0
2009-06-03,ITUB4,32.02,31.6,32.19,30.82,219840589.0
2009-06-04,ITUB4,31.7,32.0,32.05,31.06,133542565.0
2009-06-05,ITUB4,32.54,31.73,32.65,31.16,156052210.0
2009-06-08,ITUB4,31.2,31.8,32.24,31.17,108938247.0
2009-06-09,ITUB4,32.19,31.4,32.28,31.19,99258747.0
2009-06-10,ITUB4,31.86,31.52,32.07,30.96,124184830.0
2009-06-12,ITUB4,31.8,32.02,32.19,31.16,154624273.0
2009-06-15,ITUB4,31.41,30.92,31.63,30.14,158840842.0
2009-06-16,ITUB4,31.16,30.73,31.46,30.64,134737098.0
2009-06-17,ITUB4,30.4,30.56,30.62,29.96,164075472.0
2009-06-18,ITUB4,30.6,30.14,30.73,30.0,112300149.0
2009-06-19,ITUB4,30.49,30.6,31.02,30.24,150149979.0
2009-06-22,ITUB4,30.3,30.38,30.5,29.94,152809942.0
2009-06-23,ITUB4,30.59,29.75,30.59,29.61,226583169.0
2009-06-24,ITUB4,29.87,29.75,30.2,29.26,207942340.0
2009-06-25,ITUB4,29.69,30.43,30.72,29.65,129823861.0
2009-06-26,ITUB4,30.4,30.91,31.39,30.4,195817202.0
2009-06-29,ITUB4,31.35,31.52,31.7,31.1,158979210.0
2009-06-30,ITUB4,31.75,31.1,31.84,30.85,194927969.0
2009-07-01,ITUB4,31.4,31.11,31.6,31.11,180619892.0
2009-07-02,ITUB4,30.85,31.04,31.32,30.62,152804923.0
2009-07-03,ITUB4,31.0,30.8,31.43,30.7,55333563.0
2009-07-06,ITUB4,30.57,31.0,31.0,30.2,110800354.0
2009-07-07,ITUB4,30.97,30.51,31.0,30.38,184855511.0
2009-07-08,ITUB4,30.44,30.35,30.71,29.82,319991531.0
2009-07-10,ITUB4,30.1,30.0,30.48,29.65,159158011.0
2009-07-13,ITUB4,30.2,30.0,30.25,29.48,128884768.0
2009-07-14,ITUB4,30.1,29.68,30.15,29.4,206076567.0
2009-07-15,ITUB4,30.23,30.92,31.34,30.15,191432454.0
2009-07-16,ITUB4,30.8,31.4,31.71,30.54,157129343.0
2009-07-17,ITUB4,31.28,31.25,31.7,31.13,144766347.0
2009-07-20,ITUB4,31.92,32.57,32.64,31.77,233468329.0
2009-07-21,ITUB4,32.74,32.6,32.98,32.17,161970507.0
2009-07-22,ITUB4,32.2,32.69,33.25,32.01,223873529.0
2009-07-23,ITUB4,32.9,33.99,34.36,32.86,399497128.0
2009-07-24,ITUB4,33.79,34.09,34.29,33.75,158793413.0
2009-07-27,ITUB4,34.15,33.95,34.45,33.75,108292971.0
2009-07-28,ITUB4,33.67,33.9,34.0,33.36,126826733.0
2009-07-29,ITUB4,33.45,33.45,33.69,33.08,119692920.0
2009-07-30,ITUB4,34.0,33.76,34.25,33.75,140967547.0
2009-07-31,ITUB4,33.5,33.6,34.01,33.25,146376410.0
2009-08-03,ITUB4,34.05,34.0,34.24,33.7,133990624.0
2009-08-04,ITUB4,33.86,34.3,34.47,33.68,187828793.0
2009-08-05,ITUB4,34.35,34.99,35.32,33.95,233242070.0
2009-08-06,ITUB4,35.24,34.7,35.35,34.18,179088382.0
2009-08-07,ITUB4,34.95,35.71,36.05,34.7,257451293.0
2009-08-10,ITUB4,35.65,36.08,36.08,35.44,131072951.0
2009-08-11,ITUB4,35.48,34.6,35.59,34.4,329018155.0
2009-08-12,ITUB4,34.54,34.34,34.88,34.12,181565967.0
2009-08-13,ITUB4,34.65,33.92,34.83,33.53,182748972.0
2009-08-14,ITUB4,33.97,33.4,34.11,32.68,186703630.0
2009-08-17,ITUB4,32.5,32.6,32.8,32.3,116698108.0
2009-08-18,ITUB4,32.77,33.75,33.84,32.75,176781779.0
2009-08-19,ITUB4,33.5,34.2,34.2,33.2,124622554.0
2009-08-20,ITUB4,34.2,34.65,34.75,34.05,127335853.0
2009-08-21,ITUB4,34.8,34.4,35.11,34.2,201517927.0
2009-08-24,ITUB4,34.73,34.51,35.33,34.48,157321013.0
2009-08-25,ITUB4,34.65,34.94,35.5,34.59,215606933.0
2009-08-26,ITUB4,35.0,35.7,35.7,34.9,246507823.0
2009-08-27,ITUB4,35.7,35.43,35.78,35.15,163455818.0
2009-08-28,ITUB4,35.69,35.4,36.0,35.31,151057937.0
2009-08-31,ITUB4,31.9,31.98,32.11,31.5,171658713.0
2009-09-01,ITUB4,32.0,31.05,32.13,31.03,212963455.0
2009-09-02,ITUB4,31.14,30.96,31.37,30.75,161710750.0
2009-09-03,ITUB4,31.1,30.81,31.29,30.62,92986891.0
2009-09-04,ITUB4,31.07,31.59,31.86,30.85,126340728.0
2009-09-08,ITUB4,31.89,32.0,32.21,31.71,175309956.0
2009-09-09,ITUB4,32.09,32.4,32.71,31.89,158119013.0
2009-09-10,ITUB4,32.19,32.59,32.72,32.11,137607643.0
2009-09-11,ITUB4,32.7,32.94,33.09,32.6,129398227.0
2009-09-14,ITUB4,32.7,33.0,33.07,32.47,113679747.0
2009-09-15,ITUB4,33.05,33.49,33.65,32.75,166011117.0
2009-09-16,ITUB4,33.65,33.94,34.05,33.51,166476606.0
2009-09-17,ITUB4,33.61,33.95,34.59,33.61,247584378.0
2009-09-18,ITUB4,33.87,34.15,34.27,33.82,175933078.0
2009-09-21,ITUB4,33.82,33.9,34.13,33.54,133991105.0
2009-09-22,ITUB4,34.2,34.05,34.46,33.95,152397074.0
2009-09-23,ITUB4,34.15,33.49,34.31,33.4,130272153.0
2009-09-24,ITUB4,33.82,33.15,33.82,32.59,163135860.0
2009-09-25,ITUB4,32.91,33.33,33.54,32.85,98302950.0
2009-09-28,ITUB4,33.48,34.07,34.07,33.25,107460523.0
2009-09-29,ITUB4,34.0,35.2,35.2,34.0,356473591.0
