datetime,ticker,open,close,high,low,volume
1998-06-09,LREN3,37.03,37.03,37.03,37.03,14812.0
1998-08-21,LREN3,30.0,30.0,30.0,30.0,3000.0
1998-09-02,LREN3,17.0,17.0,17.0,17.0,1700.0
1998-10-09,LREN3,14.0,14.0,14.0,14.0,1400.0
1998-12-29,LREN3,25.0,25.0,25.0,25.0,2500.0
1999-01-19,LREN3,37.6,37.61,37.61,37.6,12004171.0
1999-04-14,LREN3,37.61,37.61,37.61,37.61,18805.0
1999-04-23,LREN3,37.7,37.7,37.7,37.7,3770.0
1999-06-10,LREN3,45.0,45.0,45.0,45.0,702000.0
2002-02-04,LREN3,17.3,17.3,17.3,17.3,3460.0
2002-05-22,LREN3,15.5,15.5,15.5,15.5,1550.0
2002-10-28,LREN3,15.5,15.5,15.5,15.5,7750.0
2005-04-01,LREN3,45.0,45.0,45.0,45.0,9000.0
2005-06-27,LREN3,60.02,60.02,60.02,60.02,6002.0
2005-07-01,LREN3,37.0,38.5,38.5,37.0,53643055.0
2005-07-04,LREN3,38.8,39.51,40.0,38.5,1928306.0
2005-07-05,LREN3,39.6,38.4,40.0,38.0,6579219.0
2005-07-06,LREN3,38.0,38.0,38.4,38.0,3293835.0
2005-07-07,LREN3,37.8,38.2,38.2,37.8,1217354.0
2005-07-08,LREN3,38.5,38.5,39.0,38.2,1594570.0
2005-07-11,LREN3,39.1,39.0,39.1,38.3,3231054.0
2005-07-12,LREN3,39.0,39.4,39.8,39.0,6940937.0
2005-07-13,LREN3,39.99,39.5,39.99,39.5,6314873.0
2005-07-14,LREN3,39.9,40.0,40.0,39.7,3562298.0
2005-07-15,LREN3,40.0,40.0,40.0,40.0,2756000.0
2005-07-18,LREN3,40.0,40.09,40.1,40.0,3778485.0
2005-07-19,LREN3,40.15,40.0,40.4,40.0,1192161.0
2005-07-20,LREN3,40.05,40.4,40.4,40.0,12142359.0
2005-07-21,LREN3,40.6,41.0,41.0,40.6,147356.0
2005-07-22,LREN3,42.0,42.0,42.0,41.0,1009420.0
2005-07-25,LREN3,41.0,40.8,41.99,40.6,12439993.0
2005-07-26,LREN3,41.0,40.7,41.0,40.5,3215209.0
2005-07-27,LREN3,41.5,41.0,42.0,40.7,7965502.0
2005-07-28,LREN3,41.5,41.2,41.5,41.0,4434300.0
2005-07-29,LREN3,42.0,45.99,46.0,42.0,16384408.0
2005-08-01,LREN3,47.0,46.02,47.0,45.5,4057574.0
2005-08-02,LREN3,47.0,46.3,47.0,46.1,3084125.0
2005-08-03,LREN3,46.5,46.5,46.5,46.01,11728352.0
2005-08-04,LREN3,46.5,46.5,46.5,46.5,1255500.0
2005-08-05,LREN3,46.5,46.5,47.0,46.0,9606530.0
2005-08-08,LREN3,47.0,47.75,48.0,47.0,892876.0
2005-08-09,LREN3,49.0,47.5,49.0,47.24,751376.0
2005-08-10,LREN3,47.79,47.0,47.79,47.0,11284828.0
2005-08-11,LREN3,48.0,47.0,48.0,47.0,3544400.0
2005-08-12,LREN3,46.0,47.0,47.5,46.0,3156850.0
2005-08-15,LREN3,47.5,49.0,49.0,47.4,9233527.0
2005-08-16,LREN3,47.5,49.0,49.0,47.5,1298350.0
2005-08-17,LREN3,49.0,51.8,51.8,48.5,5032860.0
2005-08-18,LREN3,51.8,51.0,51.8,50.99,510030.0
2005-08-19,LREN3,51.8,49.0,51.8,49.0,2792321.0
2005-08-22,LREN3,51.0,49.0,51.0,48.98,2592820.0
2005-08-23,LREN3,49.99,49.0,49.99,48.7,4341637.0
2005-08-24,LREN3,48.6,49.0,49.0,48.0,11399708.0
2005-08-25,LREN3,49.5,52.0,52.0,48.5,5541180.0
2005-08-26,LREN3,49.51,49.99,50.0,49.5,6449242.0
2005-08-29,LREN3,51.0,50.9,51.0,50.0,3707790.0
2005-08-30,LREN3,51.0,51.0,51.0,51.0,15300.0
2005-08-31,LREN3,53.0,50.0,53.0,50.0,10415400.0
2005-09-01,LREN3,50.5,49.9,50.5,49.9,6349020.0
2005-09-02,LREN3,50.0,49.9,50.0,49.85,1049803.0
