datetime,ticker,open,close,high,low,volume
2011-05-02,MGLU3,16.1,16.45,16.6,16.1,143468804.0
2011-05-03,MGLU3,16.5,16.3,16.69,16.2,17392996.0
2011-05-04,MGLU3,16.32,16.48,16.48,16.32,20178219.0
2011-05-05,MGLU3,16.41,16.38,16.41,16.32,18256498.0
2011-05-06,MGLU3,16.35,16.26,16.38,16.0,19709202.0
2011-05-09,MGLU3,16.25,16.0,16.3,16.0,7204611.0
2011-05-10,MGLU3,15.98,16.59,16.59,15.9,11213712.0
2011-05-11,MGLU3,16.25,16.4,16.5,16.25,3262158.0
2011-05-12,MGLU3,16.22,16.42,16.42,16.2,3756330.0
2011-05-13,MGLU3,16.4,16.35,16.4,16.24,3632560.0
2011-05-16,MGLU3,16.26,16.15,16.27,16.0,8661870.0
2011-05-17,MGLU3,16.1,16.1,16.15,16.02,2797873.0
2011-05-18,MGLU3,16.05,15.8,16.13,15.77,11101790.0
2011-05-19,MGLU3,15.8,15.83,15.98,15.76,7041398.0
2011-05-20,MGLU3,15.81,15.94,15.99,15.51,5181244.0
2011-05-23,MGLU3,15.76,15.88,15.88,15.55,4307930.0
2011-05-24,MGLU3,15.95,15.67,16.0,15.51,16529874.0
2011-05-25,MGLU3,15.65,15.2,15.65,15.19,8984273.0
2011-05-26,MGLU3,15.18,15.73,15.75,15.18,5717187.0
2011-05-27,MGLU3,15.59,15.8,15.9,15.52,8209735.0
2011-05-30,MGLU3,15.6,15.95,15.98,15.6,2307194.0
2011-05-31,MGLU3,16.0,16.0,16.0,15.65,17872224.0
2011-06-01,MGLU3,15.87,16.2,16.27,15.78,7025191.0
2011-06-02,MGLU3,16.0,16.4,16.5,16.0,7119376.0
2011-06-03,MGLU3,16.2,16.7,16.7,16.2,6745764.0
2011-06-06,MGLU3,16.57,16.7,16.82,16.46,5478121.0
2011-06-07,MGLU3,16.6,16.69,16.77,16.42,9870980.0
2011-06-08,MGLU3,16.67,16.58,16.68,16.43,5444261.0
2011-06-09,MGLU3,16.51,17.1,17.27,16.5,19291294.0
2011-06-10,MGLU3,16.95,17.15,17.15,16.62,7933846.0
2011-06-13,MGLU3,17.15,17.3,17.76,17.1,14533587.0
2011-06-14,MGLU3,17.4,17.12,17.55,16.67,10647691.0
