datetime,ticker,open,close,high,low,volume
2019-12-18,NTCO3,37.05,36.76,39.0,35.99,144103191.0
2019-12-19,NTCO3,36.95,38.85,39.18,36.56,200077335.0
2019-12-20,NTCO3,39.05,39.04,39.9,38.66,259424930.0
2019-12-23,NTCO3,39.38,39.85,40.2,39.12,125258896.0
2019-12-26,NTCO3,39.9,39.44,39.99,39.12,70139501.0
2019-12-27,NTCO3,39.51,38.87,39.86,38.4,121473743.0
2019-12-30,NTCO3,39.15,38.67,39.54,38.26,164516288.0
2020-01-02,NTCO3,38.88,38.33,39.08,37.5,402608750.0
2020-01-03,NTCO3,38.5,41.0,41.0,38.36,2261291197.0
2020-01-06,NTCO3,41.2,40.13,43.33,39.5,2843141374.0
2020-01-07,NTCO3,40.2,40.78,40.86,39.27,943114430.0
2020-01-08,NTCO3,40.8,40.99,42.06,40.53,630598578.0
2020-01-09,NTCO3,41.5,42.0,42.0,40.61,552722617.0
2020-01-10,NTCO3,41.98,42.89,43.53,41.59,641964728.0
2020-01-13,NTCO3,43.5,43.73,43.83,43.22,501878971.0
2020-01-14,NTCO3,43.2,44.26,44.26,43.08,182306930.0
2020-01-15,NTCO3,44.0,44.58,44.94,43.5,158259692.0
2020-01-16,NTCO3,44.8,45.41,45.42,43.92,230007605.0
2020-01-17,NTCO3,45.44,45.88,46.67,45.01,219143093.0
2020-01-20,NTCO3,45.9,46.5,46.58,45.69,141136471.0
2020-01-21,NTCO3,46.38,45.95,47.19,45.95,289584643.0
2020-01-22,NTCO3,46.5,47.75,48.16,46.2,217992819.0
2020-01-23,NTCO3,47.74,49.38,49.38,46.72,255251009.0
2020-01-24,NTCO3,49.6,49.18,50.15,48.8,188223707.0
2020-01-27,NTCO3,48.21,47.47,48.59,46.18,333368594.0
2020-01-28,NTCO3,47.62,49.04,49.44,47.51,195774962.0
2020-01-29,NTCO3,49.49,48.35,49.68,48.02,290927072.0
2020-01-30,NTCO3,48.0,48.95,48.95,46.12,383496842.0
2020-01-31,NTCO3,48.23,47.58,48.93,46.9,302027955.0
2020-02-03,NTCO3,47.98,47.79,49.1,47.64,193985034.0
2020-02-04,NTCO3,48.42,48.52,49.55,48.09,216962487.0
2020-02-05,NTCO3,49.2,48.5,49.6,47.56,200138323.0
2020-02-06,NTCO3,48.9,47.04,49.15,46.7,207499775.0
2020-02-07,NTCO3,46.76,45.57,47.27,45.02,341956565.0
2020-02-10,NTCO3,45.46,44.98,46.35,43.52,384867997.0
2020-02-11,NTCO3,45.3,47.8,47.9,45.04,288827673.0
2020-02-12,NTCO3,47.93,49.28,50.23,47.7,357552797.0
2020-02-13,NTCO3,48.0,49.17,49.17,47.83,123986486.0
2020-02-14,NTCO3,49.06,50.89,50.94,48.5,225461730.0
2020-02-17,NTCO3,50.78,50.62,51.29,49.48,132147691.0
2020-02-18,NTCO3,50.15,49.86,50.28,49.15,210611380.0
2020-02-19,NTCO3,50.15,50.35,50.79,48.51,190249361.0
2020-02-20,NTCO3,50.4,50.0,50.89,49.1,229575776.0
2020-02-21,NTCO3,49.9,48.5,49.9,48.01,271101847.0
2020-02-26,NTCO3,45.61,46.34,46.79,45.0,432310123.0
2020-02-27,NTCO3,46.18,45.53,46.72,44.51,425071072.0
2020-02-28,NTCO3,44.42,45.51,45.51,42.27,550146581.0
2020-03-02,NTCO3,44.65,44.81,45.81,44.03,274100949.0
2020-03-03,NTCO3,45.3,44.5,45.96,43.53,792402782.0
2020-03-04,NTCO3,44.75,44.17,45.1,43.3,395230420.0
2020-03-05,NTCO3,44.64,41.25,44.64,40.85,356774595.0
2020-03-06,NTCO3,40.27,39.8,40.8,39.4,622520878.0
2020-03-09,NTCO3,36.74,36.0,37.81,35.4,587428804.0
2020-03-10,NTCO3,37.67,39.1,39.1,35.65,438985703.0
2020-03-11,NTCO3,37.5,35.91,37.5,32.99,532648036.0
2020-03-12,NTCO3,30.05,28.51,33.75,28.0,267070096.0
2020-03-13,NTCO3,34.5,33.0,35.99,29.4,421073186.0
2020-03-16,NTCO3,27.0,25.0,27.94,24.31,406388226.0
2020-03-17,NTCO3,26.35,27.84,27.89,25.05,306301730.0
2020-03-18,NTCO3,25.75,25.2,26.36,20.85,312777214.0
2020-03-19,NTCO3,24.1,25.89,26.16,21.51,296622807.0
2020-03-20,NTCO3,27.0,25.17,28.22,24.8,286035651.0
2020-03-23,NTCO3,24.95,21.25,24.98,20.44,320973113.0
2020-03-24,NTCO3,22.7,24.9,25.7,22.42,270619866.0
2020-03-25,NTCO3,24.25,28.9,30.66,23.62,284922780.0
2020-03-26,NTCO3,28.32,29.0,30.17,27.48,249205721.0
2020-03-27,NTCO3,27.3,28.55,29.14,27.21,172320354.0
2020-03-30,NTCO3,28.81,27.43,29.29,26.63,238367940.0
2020-03-31,NTCO3,27.5,25.74,27.5,24.8,236542470.0
2020-04-01,NTCO3,24.0,23.19,24.78,22.33,338181590.0
2020-04-02,NTCO3,23.33,23.88,24.74,22.7,197529795.0
2020-04-03,NTCO3,23.65,23.68,24.4,21.82,194327216.0
2020-04-06,NTCO3,25.61,26.44,27.83,24.82,230055853.0
2020-04-07,NTCO3,28.02,28.96,29.6,28.02,258209132.0
2020-04-08,NTCO3,28.96,30.11,30.38,27.84,189162403.0
2020-04-09,NTCO3,30.15,28.98,30.99,28.75,299277875.0
2020-04-13,NTCO3,28.81,28.26,29.3,27.05,290345415.0
2020-04-14,NTCO3,28.88,29.78,30.55,28.75,232123747.0
2020-04-15,NTCO3,28.85,31.8,32.63,28.8,353154802.0
2020-04-16,NTCO3,32.1,32.33,33.78,31.51,340719929.0
2020-04-17,NTCO3,33.41,33.34,34.32,32.0,346746904.0
2020-04-20,NTCO3,32.5,33.46,34.51,32.0,200093628.0
2020-04-22,NTCO3,33.59,35.0,35.58,33.09,239781619.0
2020-04-23,NTCO3,35.1,34.6,35.7,33.25,200516079.0
2020-04-24,NTCO3,34.0,33.23,34.35,30.1,304921096.0
2020-04-27,NTCO3,33.94,35.4,35.45,33.35,265123349.0
2020-04-28,NTCO3,35.99,35.06,36.35,34.62,350335701.0
2020-04-29,NTCO3,35.48,36.32,36.57,34.51,276892789.0
2020-04-30,NTCO3,35.7,35.52,36.86,34.97,731061313.0
2020-05-04,NTCO3,34.4,34.4,34.4,33.0,316484656.0
2020-05-05,NTCO3,34.79,34.52,35.47,34.1,208836843.0
2020-05-06,NTCO3,34.61,36.5,36.66,33.61,251468200.0
2020-05-07,NTCO3,37.0,36.45,37.31,35.4,442607472.0
2020-05-08,NTCO3,36.6,35.7,37.5,34.85,438626463.0
2020-05-11,NTCO3,34.83,34.15,35.77,33.5,255180224.0
2020-05-12,NTCO3,34.14,32.05,34.22,32.0,363156353.0
2020-05-13,NTCO3,32.27,32.43,33.7,31.67,213992230.0
2020-05-14,NTCO3,31.9,33.24,33.24,31.46,201367547.0
2020-05-15,NTCO3,32.32,32.18,32.96,31.54,256941437.0
2020-05-18,NTCO3,33.53,33.36,33.68,32.43,186779145.0
2020-05-19,NTCO3,33.0,32.54,34.26,32.54,173907154.0
2020-05-20,NTCO3,32.43,33.71,33.9,32.17,169499680.0
2020-05-21,NTCO3,33.65,33.91,35.0,33.44,181716853.0
2020-05-22,NTCO3,33.74,34.1,34.28,32.7,160690396.0
2020-05-25,NTCO3,34.5,35.14,35.6,34.38,201284457.0
2020-05-26,NTCO3,35.7,36.08,36.92,35.44,267538676.0
2020-05-27,NTCO3,36.28,38.7,39.35,36.23,340846340.0
2020-05-28,NTCO3,38.69,37.74,38.99,36.88,270613455.0
2020-05-29,NTCO3,37.73,37.18,37.93,36.1,547843175.0
2020-06-01,NTCO3,36.99,37.97,38.59,36.35,215632425.0
2020-06-02,NTCO3,38.0,38.01,38.71,37.52,199499282.0
2020-06-03,NTCO3,38.48,38.33,39.27,37.56,229679029.0
2020-06-04,NTCO3,38.64,37.91,38.64,37.15,420196056.0
2020-06-05,NTCO3,38.41,40.14,41.14,38.35,451610107.0
2020-06-08,NTCO3,40.65,41.29,41.95,39.52,319516803.0
2020-06-09,NTCO3,40.5,41.21,41.27,39.88,277045206.0
2020-06-10,NTCO3,41.55,40.85,41.95,40.01,318280907.0
2020-06-12,NTCO3,39.48,40.02,40.61,39.39,418710789.0
2020-06-15,NTCO3,39.31,40.58,41.84,39.24,309400580.0
2020-06-16,NTCO3,42.54,40.31,42.84,40.31,236502266.0
2020-06-17,NTCO3,40.31,41.92,42.49,40.31,293930696.0
2020-06-18,NTCO3,41.61,41.54,43.9,41.0,403576152.0
2020-06-19,NTCO3,41.87,42.23,43.74,41.58,593079744.0
2020-06-22,NTCO3,42.31,41.05,42.55,40.82,195616601.0
2020-06-23,NTCO3,41.41,42.34,42.34,41.08,287955901.0
2020-06-24,NTCO3,42.18,41.3,42.55,40.33,220853199.0
2020-06-25,NTCO3,40.99,41.86,42.05,40.84,229876393.0
2020-06-26,NTCO3,41.37,39.9,42.14,39.46,207920080.0
2020-06-29,NTCO3,40.0,40.02,40.26,39.26,168457816.0
2020-06-30,NTCO3,39.66,39.9,40.23,39.31,209577856.0
2020-07-01,NTCO3,39.9,40.28,40.7,39.53,316055682.0
2020-07-02,NTCO3,40.78,40.81,41.53,38.91,429786227.0
2020-07-03,NTCO3,40.63,41.3,41.5,40.23,157387639.0
2020-07-06,NTCO3,41.62,40.66,42.0,40.6,259355446.0
2020-07-07,NTCO3,40.49,39.91,40.49,39.2,255431426.0
2020-07-08,NTCO3,40.01,42.32,42.59,40.01,804525312.0
2020-07-09,NTCO3,42.35,42.15,42.99,41.68,126937593.0
2020-07-10,NTCO3,41.94,42.03,42.39,41.02,214387582.0
2020-07-13,NTCO3,41.98,39.9,41.98,39.81,253695687.0
2020-07-14,NTCO3,39.9,39.68,40.4,38.99,158761449.0
2020-07-15,NTCO3,40.05,40.55,40.94,39.75,177617702.0
2020-07-16,NTCO3,40.38,40.44,40.96,39.72,158258407.0
2020-07-17,NTCO3,40.79,42.0,42.42,40.58,253380974.0
2020-07-20,NTCO3,42.0,43.44,43.44,41.56,170626828.0
2020-07-21,NTCO3,43.75,43.37,44.55,41.85,325973858.0
2020-07-22,NTCO3,43.6,43.48,44.08,42.54,219353938.0
2020-07-23,NTCO3,42.9,42.8,44.29,42.49,187837844.0
2020-07-24,NTCO3,42.45,42.6,43.0,41.46,168923089.0
2020-07-27,NTCO3,42.61,43.18,43.9,42.34,219083854.0
2020-07-28,NTCO3,42.87,44.12,44.73,42.51,327979641.0
2020-07-29,NTCO3,44.25,47.09,47.24,44.12,549947061.0
2020-07-30,NTCO3,46.58,48.67,48.8,46.2,380226544.0
2020-07-31,NTCO3,48.67,47.04,48.67,46.14,339940088.0
2020-08-03,NTCO3,47.44,46.61,47.44,45.63,298966896.0
2020-08-04,NTCO3,46.2,46.74,47.14,45.06,245524738.0
2020-08-05,NTCO3,47.9,47.81,48.49,46.6,252438896.0
2020-08-06,NTCO3,47.63,48.03,48.59,46.77,269657168.0
2020-08-07,NTCO3,47.69,46.79,47.85,46.28,440149011.0
2020-08-10,NTCO3,47.0,46.45,47.21,45.4,208432705.0
2020-08-11,NTCO3,46.56,45.84,47.06,45.08,226580264.0
2020-08-12,NTCO3,45.9,46.62,46.62,45.27,277693369.0
2020-08-13,NTCO3,46.8,47.54,48.0,46.25,488215511.0
2020-08-14,NTCO3,47.71,51.43,52.76,47.68,984713390.0
2020-08-17,NTCO3,51.0,50.87,51.5,48.57,370188268.0
2020-08-18,NTCO3,51.38,51.4,51.4,49.6,359470102.0
2020-08-19,NTCO3,51.2,50.84,51.76,50.4,180590269.0
2020-08-20,NTCO3,49.34,49.87,50.75,49.23,416974488.0
2020-08-21,NTCO3,49.78,49.81,50.06,49.08,261003122.0
2020-08-24,NTCO3,50.06,50.6,50.6,48.91,259794787.0
2020-08-25,NTCO3,50.6,49.62,50.87,49.35,209814523.0
2020-08-26,NTCO3,50.01,49.14,50.5,47.59,252565132.0
2020-08-27,NTCO3,49.49,49.23,50.72,48.76,236588465.0
2020-08-28,NTCO3,49.69,50.42,50.42,48.87,260163849.0
2020-08-31,NTCO3,50.1,49.34,50.1,48.71,439121089.0
2020-09-01,NTCO3,49.82,50.86,51.31,49.49,235390543.0
2020-09-02,NTCO3,51.0,50.91,51.28,50.08,162981023.0
2020-09-03,NTCO3,50.6,50.27,51.74,49.2,331362872.0
2020-09-04,NTCO3,50.31,49.45,50.61,48.33,372739021.0
2020-09-08,NTCO3,49.3,48.7,49.85,48.02,263302036.0
2020-09-09,NTCO3,49.11,50.72,51.23,49.11,273510859.0
2020-09-10,NTCO3,50.9,49.75,51.27,49.39,263399481.0
2020-09-11,NTCO3,49.63,51.62,53.11,49.63,629095318.0
2020-09-14,NTCO3,52.18,53.26,54.44,52.12,443234190.0
2020-09-15,NTCO3,54.0,53.5,54.26,52.74,259169120.0
2020-09-16,NTCO3,54.0,52.73,54.6,52.51,336203096.0
2020-09-17,NTCO3,52.5,52.74,53.11,52.04,202953223.0
2020-09-18,NTCO3,52.24,52.05,53.1,51.13,333164383.0
2020-09-21,NTCO3,51.65,51.49,52.0,50.69,185233210.0
2020-09-22,NTCO3,51.5,51.0,51.67,50.24,261972876.0
2020-09-23,NTCO3,50.33,50.1,50.84,49.42,243561575.0
2020-09-24,NTCO3,50.24,50.21,51.58,49.86,253977388.0
2020-09-25,NTCO3,50.0,50.17,50.17,49.06,208166367.0
2020-09-28,NTCO3,51.12,48.73,52.08,48.6,346060372.0
2020-09-29,NTCO3,48.72,49.69,50.55,48.72,382497010.0
2020-09-30,NTCO3,49.9,51.13,52.23,49.62,359488702.0
2020-10-01,NTCO3,49.5,48.58,49.8,47.38,873572239.0
2020-10-02,NTCO3,48.3,48.94,50.18,48.22,467820572.0
2020-10-05,NTCO3,48.91,48.95,49.7,48.78,189739499.0
2020-10-06,NTCO3,49.4,47.65,49.44,47.05,377468898.0
2020-10-07,NTCO3,47.65,47.31,47.82,46.31,349751125.0
2020-10-08,NTCO3,47.5,47.0,48.3,46.74,514471975.0
2020-10-09,NTCO3,47.42,46.98,47.78,46.36,1000754106.0
2020-10-13,NTCO3,47.11,48.86,49.1,46.82,754973630.0
2020-10-14,NTCO3,48.85,49.4,49.79,48.18,1244845660.0
2020-10-15,NTCO3,48.9,49.7,50.18,48.63,492384349.0
2020-10-16,NTCO3,49.85,48.86,49.88,48.18,340862174.0
2020-10-19,NTCO3,49.2,48.25,49.54,47.86,265578797.0
2020-10-20,NTCO3,48.6,48.83,49.13,47.74,307806547.0
2020-10-21,NTCO3,48.69,49.37,50.0,48.54,297066171.0
2020-10-22,NTCO3,49.31,49.73,49.74,48.56,427954214.0
2020-10-23,NTCO3,49.5,49.82,50.56,49.2,249963182.0
2020-10-26,NTCO3,49.71,49.47,50.55,48.93,292686364.0
2020-10-27,NTCO3,49.47,49.31,50.21,49.0,241464730.0
2020-10-28,NTCO3,48.75,48.45,48.9,47.51,393237591.0
2020-10-29,NTCO3,48.2,47.8,48.7,47.08,338742338.0
2020-10-30,NTCO3,47.8,46.1,47.88,45.85,492202257.0
2020-11-03,NTCO3,47.16,46.43,47.22,45.24,376936054.0
2020-11-04,NTCO3,46.65,47.67,48.18,46.24,325610705.0
2020-11-05,NTCO3,48.71,50.28,50.66,48.29,501001581.0
2020-11-06,NTCO3,49.88,50.63,51.28,49.56,381206835.0
2020-11-09,NTCO3,51.64,49.15,52.05,48.82,534207429.0
2020-11-10,NTCO3,49.22,48.45,49.5,48.0,451063361.0
2020-11-11,NTCO3,48.14,49.44,50.05,47.85,398679290.0
2020-11-12,NTCO3,49.45,49.26,50.0,48.6,476736838.0
2020-11-13,NTCO3,49.97,51.03,51.75,49.95,771297335.0
2020-11-16,NTCO3,51.15,51.0,51.57,50.16,408843085.0
2020-11-17,NTCO3,50.99,50.09,51.3,49.83,358894080.0
2020-11-18,NTCO3,49.92,49.21,50.18,47.91,503375802.0
2020-11-19,NTCO3,49.0,48.87,49.49,48.23,204287900.0
2020-11-20,NTCO3,49.06,48.57,49.06,48.2,144484933.0
2020-11-23,NTCO3,48.75,48.21,48.8,47.53,220662311.0
2020-11-24,NTCO3,48.0,48.29,48.58,47.35,394647475.0
2020-11-25,NTCO3,48.1,50.3,50.42,48.02,272292705.0
2020-11-26,NTCO3,49.71,50.41,50.87,49.69,199587010.0
2020-11-27,NTCO3,50.5,51.4,51.4,50.03,176304271.0
2020-11-30,NTCO3,51.4,50.41,51.49,49.89,409043466.0
2020-12-01,NTCO3,50.7,49.1,51.0,48.2,533069417.0
2020-12-02,NTCO3,49.09,49.35,49.67,48.0,324101714.0
2020-12-03,NTCO3,49.5,49.0,49.74,48.05,358788748.0
2020-12-04,NTCO3,49.5,49.15,50.29,48.87,233595978.0
2020-12-07,NTCO3,49.15,48.45,49.21,47.86,317540561.0
2020-12-08,NTCO3,48.44,48.83,48.85,47.72,307455939.0
2020-12-09,NTCO3,48.22,48.29,49.36,47.92,203887254.0
2020-12-10,NTCO3,48.44,47.91,48.51,46.39,383238518.0
2020-12-11,NTCO3,47.64,48.07,48.44,47.16,176956706.0
2020-12-14,NTCO3,48.45,48.65,48.76,47.71,166473021.0
2020-12-15,NTCO3,48.61,49.0,49.0,47.85,196950585.0
2020-12-16,NTCO3,48.98,50.9,51.07,48.59,366647296.0
2020-12-17,NTCO3,50.6,51.14,51.27,49.88,257381357.0
2020-12-18,NTCO3,51.15,51.18,51.77,50.85,288336761.0
2020-12-21,NTCO3,50.1,49.74,50.7,49.41,332939587.0
2020-12-22,NTCO3,49.65,50.05,50.3,49.42,122918272.0
2020-12-23,NTCO3,50.05,51.69,51.93,49.93,299115329.0
2020-12-28,NTCO3,51.85,52.0,52.41,51.08,148644072.0
2020-12-29,NTCO3,52.21,51.94,52.94,51.38,219727913.0
2020-12-30,NTCO3,51.92,52.5,53.27,51.89,362646043.0
