datetime,ticker,open,close,high,low,volume
1998-03-16,PETR4,276.0,275.0,276.0,273.99,27078933.9
1998-03-17,PETR4,275.0,277.0,278.0,274.5,41049029.3
1998-03-18,PETR4,277.0,275.5,279.0,275.0,40506405.9
1998-03-19,PETR4,275.5,275.5,277.0,272.0,29801256.4
1998-03-20,PETR4,277.0,279.0,280.0,276.0,26713421.3
1998-03-23,PETR4,278.0,278.0,279.0,275.5,23455914.1
1998-03-24,PETR4,277.0,275.0,278.0,275.0,32340952.6
1998-03-25,PETR4,272.0,269.0,272.0,265.5,19857696.0
1998-03-26,PETR4,269.0,271.99,271.99,266.0,31596479.0
1998-03-27,PETR4,272.0,274.0,276.0,269.0,27970293.2
1998-03-30,PETR4,272.0,266.0,273.0,265.0,13898366.7
1998-03-31,PETR4,269.0,271.0,272.0,268.0,26307138.6
1998-04-01,PETR4,270.0,270.0,270.0,267.0,15170065.7
1998-04-02,PETR4,266.0,277.0,280.0,266.0,39701299.0
1998-04-03,PETR4,275.0,271.0,280.0,270.0,51066607.6
1998-04-06,PETR4,271.0,278.0,278.0,271.0,32203327.3
1998-04-07,PETR4,285.0,280.0,285.0,276.0,59288944.2
1998-04-08,PETR4,282.0,286.0,288.99,279.0,48832614.0
1998-04-13,PETR4,289.0,288.99,290.0,286.99,35563197.1
1998-04-14,PETR4,290.0,294.99,295.5,288.5,78642405.0
1998-04-15,PETR4,292.0,295.0,297.0,292.0,68127332.7
1998-04-16,PETR4,292.0,291.0,293.0,288.0,25548788.4
1998-04-17,PETR4,285.0,290.0,290.5,285.0,33821390.6
1998-04-20,PETR4,290.0,287.0,291.0,286.0,56472780.0
1998-04-22,PETR4,281.0,282.0,285.0,279.0,39667179.1
1998-04-23,PETR4,282.0,282.99,287.0,280.0,35049151.5
1998-04-24,PETR4,284.0,289.0,290.0,282.0,35131790.8
1998-04-27,PETR4,282.99,279.49,285.0,277.0,52480498.7
1998-04-28,PETR4,283.0,288.0,290.0,283.0,73851726.3
1998-04-29,PETR4,286.0,287.0,290.0,285.0,49234643.7
1998-04-30,PETR4,289.0,290.0,290.0,286.99,29848357.6
1998-05-04,PETR4,290.0,280.0,290.0,279.51,43852323.7
1998-05-05,PETR4,278.0,280.0,281.0,277.0,50767161.8
1998-05-06,PETR4,280.0,273.0,283.0,273.0,35940179.4
1998-05-07,PETR4,270.0,264.0,272.0,264.0,63351272.7
1998-05-08,PETR4,267.0,263.0,271.0,261.01,72615074.4
1998-05-11,PETR4,265.0,257.0,269.0,255.0,28025002.6
1998-05-12,PETR4,254.8,252.0,259.0,247.0,42275954.6
1998-05-13,PETR4,252.0,250.5,252.0,248.0,67332337.5
1998-05-14,PETR4,255.0,250.0,257.0,248.01,59126192.0
