datetime,ticker,open,close,high,low,volume
1998-03-16,VALE3,24.5,24.55,24.55,24.0,359021.0
1998-03-17,VALE3,24.6,25.2,25.2,24.6,1049284.0
1998-03-18,VALE3,25.0,25.75,25.75,25.0,821252.0
1998-03-20,VALE3,25.75,26.3,26.5,25.75,595610.0
1998-03-23,VALE3,26.3,26.49,26.49,26.3,1186494.0
1998-03-24,VALE3,26.48,26.0,26.49,26.0,28697.0
1998-03-25,VALE3,26.0,26.0,26.0,26.0,2600.0
1998-03-27,VALE3,25.95,25.51,26.0,25.5,705246.0
1998-03-30,VALE3,25.0,25.0,25.0,25.0,360000.0
1998-03-31,VALE3,25.0,25.1,25.1,25.0,986230.0
1998-04-01,VALE3,25.1,25.0,25.1,25.0,277510.0
1998-04-02,VALE3,24.5,24.6,25.0,24.5,312250.0
1998-04-06,VALE3,25.0,25.8,25.8,25.0,687951.0
1998-04-07,VALE3,25.47,25.5,25.5,25.47,5097.0
1998-04-08,VALE3,25.44,26.0,26.2,25.4,1011621.0
1998-04-13,VALE3,26.1,26.3,26.3,26.1,188759.0
1998-04-14,VALE3,26.5,27.0,27.0,26.5,925100.0
1998-04-15,VALE3,25.0,27.0,27.0,25.0,1474000.0
1998-04-16,VALE3,26.9,26.8,27.0,26.8,1581389.0
1998-04-17,VALE3,26.75,26.75,26.75,26.7,1450025.0
1998-04-20,VALE3,26.5,26.5,26.5,26.5,1696000.0
1998-04-22,VALE3,26.5,26.2,26.5,26.0,400970.0
1998-04-23,VALE3,25.0,25.0,25.0,25.0,2500.0
1998-04-24,VALE3,24.7,24.7,24.7,24.7,224770.0
1998-04-27,VALE3,24.1,23.5,24.1,23.5,118350.0
1998-04-28,VALE3,23.5,25.0,25.0,23.3,235249.0
1998-04-29,VALE3,25.0,25.0,25.0,25.0,85000.0
1998-04-30,VALE3,25.0,25.0,25.5,24.9,509190.0
1998-05-04,VALE3,25.55,25.5,25.55,25.2,237080.0
1998-05-05,VALE3,25.5,25.5,25.5,25.5,5100.0
1998-05-06,VALE3,25.5,25.0,25.5,25.0,272500.0
1998-05-07,VALE3,24.95,24.01,24.95,24.01,19773.0
1998-05-08,VALE3,24.02,24.95,24.95,24.02,4897.0
1998-05-11,VALE3,24.5,24.85,24.9,24.5,17305.0
1998-05-12,VALE3,24.5,24.6,24.6,24.0,518864.0
1998-05-13,VALE3,24.0,24.5,24.5,24.0,9750.0
1998-05-14,VALE3,24.3,24.3,24.3,24.3,2430.0
